Age,Gender,Occupation_Status,Country_Region,Monthly_Income_Range,Shop_Most_Where,Online_Shopping_Frequency,Preferred_Platform,Primary_Device,Top_Spending_Category,Review_Influence_Score,Social_Ads_Influence_Score,Price_Comparison_Frequency,Discount_Importance_Score,Follows_Brands_On_Social,Likely_To_Buy_After_Ad_Score,Makes_Shopping_List,Impulse_Purchase_Frequency,Return_Frequency,Avg_Monthly_Spend_NonEssentials,Preferred_Payment_Method,Uses_BNPL_Installments,Online_Shopping_Satisfaction_Score,Trust_In_Online_Reviews_Score,Regret_After_Purchase_Frequency,Reason_Prefer_Online,Reason_Prefer_InStore,Best_Shopping_Mode,Cluster
18.0,Male,,United States,"$1,000-3,000",,Occasionally,Global marketplace (Amazon etc.),Tablet,Groceries,3.0,1.0,3.0,4.0,No,4.0,Always,2.0,Often,$50-150,Digital wallet,"No, never",9.0,3.0,1.0,Not applicable,No delivery wait,,1
50.0,Female,Employed full-time,Kenya,"$1,000-3,000",Equal mix,Occasionally,Local e-commerce,Smartphone,Electronics,5.0,5.0,,2.0,No,3.0,Sometimes,4.0,Sometimes,$300-500,Debit Card,"Yes, occasionally",8.0,7.0,3.0,Convenience,Try product before buying,Online,0
23.0,Male,Self-employed,India,"Under $1,000",In-store only,Occasionally,Global marketplace (Amazon etc.),Smartphone,miscellaneous,3.0,1.0,5.0,3.0,No,5.0,Sometimes,2.0,Often,$50-150,Digital wallet,"Yes, regularly",8.0,5.0,1.0,More variety,Try product before buying,Offline,1
18.0,Male,Student,Vietnam,"Under $1,000",Online only,Occasionally,Global marketplace (Amazon etc.),Smartphone,Clothing,1.0,2.0,5.0,4.0,No,2.0,Never,3.0,Never,Under $50,Debit Card,,7.0,7.0,1.0,Convenience,No delivery wait,Equal / both,1
48.0,Male,Employed full-time,Indonesia,"$3,000-6,000",Equal mix,,Brand websites,Smartphone,,3.0,2.0,5.0,3.0,No,2.0,Never,2.0,Sometimes,Under $50,Credit Card,"No, never",7.0,6.0,1.0,More variety,Not applicable,Offline,0
24.0,Male,Student,Germany,"Under $1,000",Online only,Always,Local e-commerce,Smartphone,Groceries,1.0,3.0,5.0,3.0,No,2.0,Always,3.0,Never,Under $50,Debit Card,"Yes, regularly",6.0,5.0,3.0,More variety,Trust,Online,1
22.0,Female,Student,,,Online only,Occasionally,Global marketplace (Amazon etc.),Smartphone,Clothing,2.0,2.0,,4.0,No,2.0,Sometimes,1.0,Never,Under $50,Digital wallet,"Yes, regularly",7.0,7.0,2.0,Convenience,Trust,Online,1
20.0,Female,Student,Mexico,"$1,000-3,000",Equal mix,Rarely,Local e-commerce,Laptop,Clothing,3.0,2.0,4.0,3.0,No,3.0,Never,2.0,Never,Under $50,Digital wallet,"No, never",9.0,5.0,2.0,Convenience,Try product before buying,Equal / both,1
19.0,Female,Student,United States,"Under $1,000",Equal mix,Often,Physical stores,Laptop,Clothing,2.0,2.0,3.0,2.0,No,4.0,Never,2.0,Sometimes,Under $50,Cash,"No, never",10.0,6.0,2.0,Convenience,Try product before buying,Equal / both,1
22.0,Female,,Turkiye,"Under $1,000",Online only,,Global marketplace (Amazon etc.),Smartphone,Electronics,4.0,4.0,5.0,4.0,No,3.0,Sometimes,1.0,Never,Under $50,Debit Card,"Yes, occasionally",9.0,7.0,2.0,Not applicable,No delivery wait,Online,1
33.0,Female,Employed full-time,Kenya,"Under $1,000",Equal mix,Rarely,Local e-commerce,Smartphone,Clothing,4.0,4.0,3.0,4.0,No,4.0,Often,5.0,Never,Under $50,Digital wallet,"Yes, occasionally",9.0,5.0,3.0,Convenience,Not applicable,Offline,1
19.0,Female,Student,Pakistan,"$3,000-6,000",Equal mix,Occasionally,Global marketplace (Amazon etc.),Tablet,,4.0,5.0,4.0,3.0,Yes,5.0,Often,4.0,Often,$500+,Digital wallet,"No, never",5.0,7.0,,Not applicable,Try product before buying,Online,1
16.0,Prefer not to say,Student,Egypt,"$1,000-3,000",Online only,Often,Brand websites,Smartphone,Groceries,2.0,5.0,4.0,5.0,Yes,3.0,Never,3.0,Sometimes,$50-150,Debit Card,"No, never",5.0,7.0,3.0,Convenience,Trust,Online,1
18.0,Prefer not to say,,Egypt,"Under $1,000",Online only,Often,Global marketplace (Amazon etc.),Smartphone,miscellaneous,4.0,3.0,5.0,4.0,No,2.0,Never,3.0,Never,Under $50,Debit Card,"No, never",4.0,4.0,2.0,Convenience,Try product before buying,Online,1
18.0,Female,Employed part-time,India,"Under $1,000",Equal mix,Always,Brand websites,Smartphone,Clothing,3.0,5.0,4.0,5.0,No,4.0,Often,4.0,Sometimes,Under $50,Digital wallet,"Yes, regularly",5.0,4.0,2.0,More variety,No delivery wait,Online,1
19.0,Female,Student,Philippines,"Under $1,000",In-store only,Often,Local e-commerce,Smartphone,Groceries,3.0,4.0,4.0,3.0,Yes,5.0,Always,2.0,Never,$50-150,Digital wallet,"Yes, occasionally",7.0,7.0,3.0,Better prices,Trust,Offline,1
21.0,Female,,United Kingdom,"Under $1,000",Equal mix,Often,Physical stores,Laptop,Electronics,4.0,1.0,5.0,4.0,Yes,3.0,Often,1.0,Sometimes,Under $50,Cash,"No, never",8.0,6.0,1.0,Better prices,Try product before buying,Offline,1
,Male,Student,United States,"Under $1,000",Online only,Always,,Smartphone,Electronics,3.0,1.0,5.0,3.0,No,2.0,Sometimes,2.0,Often,$150-300,Digital wallet,"No, never",6.0,7.0,2.0,More variety,Try product before buying,Equal / both,1
18.0,Male,Student,,"Under $1,000",Equal mix,Occasionally,Brand websites,Laptop,Clothing,4.0,5.0,3.0,5.0,No,5.0,Often,2.0,Sometimes,$50-150,Digital wallet,"No, never",7.0,5.0,2.0,Convenience,No delivery wait,Equal / both,1
21.0,Male,Student,Philippines,"$3,000-6,000",Equal mix,Occasionally,Local e-commerce,Laptop,miscellaneous,3.0,3.0,5.0,5.0,No,3.0,Sometimes,2.0,Sometimes,$300-500,Cash,"No, never",6.0,9.0,2.0,More variety,Try product before buying,Equal / both,0
34.0,Female,Employed part-time,United Kingdom,"$1,000-3,000",Online only,Occasionally,Global marketplace (Amazon etc.),Laptop,Books,1.0,2.0,5.0,5.0,No,,Sometimes,4.0,Sometimes,$150-300,Debit Card,"No, never",5.0,4.0,1.0,More variety,Trust,Online,0
23.0,,Student,Egypt,"Under $1,000",Online only,Occasionally,Physical stores,Laptop,Clothing,5.0,5.0,4.0,3.0,No,4.0,Sometimes,2.0,Never,$50-150,Digital wallet,"Yes, occasionally",7.0,9.0,4.0,Not applicable,Try product before buying,Online,1
19.0,Female,Student,Kenya,"$3,000-6,000",Online only,Always,Local e-commerce,Laptop,Groceries,2.0,3.0,2.0,5.0,No,1.0,Never,1.0,Often,Under $50,Debit Card,"Yes, occasionally",7.0,5.0,1.0,Better prices,Try product before buying,Online,0
18.0,Male,Employed part-time,India,"Under $1,000",Online only,Occasionally,Physical stores,Smartphone,miscellaneous,3.0,4.0,5.0,2.0,No,4.0,Never,3.0,Sometimes,Under $50,Digital wallet,"Yes, regularly",8.0,7.0,3.0,Better prices,Try product before buying,Online,1
22.0,Male,Employed part-time,,"$3,000-6,000",Equal mix,Occasionally,Global marketplace (Amazon etc.),Laptop,Electronics,,2.0,5.0,3.0,No,,Never,2.0,Sometimes,$300-500,Debit Card,"No, never",7.0,6.0,2.0,Convenience,Not applicable,Offline,0
18.0,Female,Employed part-time,Indonesia,"Under $1,000",Online only,Occasionally,Physical stores,Smartphone,Groceries,4.0,3.0,5.0,3.0,No,4.0,Sometimes,2.0,Never,$50-150,Debit Card,"No, never",8.0,4.0,3.0,Convenience,No delivery wait,Online,1
25.0,Male,Employed part-time,Turkiye,"Under $1,000",Equal mix,Always,Local e-commerce,Smartphone,Clothing,4.0,4.0,4.0,2.0,Yes,4.0,Often,3.0,Sometimes,$150-300,Digital wallet,"No, never",4.0,7.0,,More variety,Not applicable,Equal / both,1
32.0,Male,Employed full-time,South Africa,"$1,000-3,000",Online only,Rarely,Local e-commerce,Laptop,Clothing,2.0,3.0,5.0,5.0,No,2.0,Sometimes,2.0,Never,$300-500,Debit Card,"Yes, occasionally",6.0,5.0,1.0,Better prices,Not applicable,Online,0
21.0,Female,Student,Slovakia,"Under $1,000",Equal mix,Often,Global marketplace (Amazon etc.),Smartphone,Beauty & personal care,5.0,3.0,5.0,3.0,No,4.0,Often,3.0,Never,$50-150,Credit Card,"No, never",8.0,7.0,3.0,Better prices,Try product before buying,Offline,1
19.0,Female,Student,India,"Under $1,000",Equal mix,Occasionally,Local e-commerce,Smartphone,Clothing,1.0,2.0,5.0,4.0,No,2.0,Often,3.0,Never,$150-300,Cash,"No, never",3.0,10.0,2.0,Convenience,Trust,Online,1
37.0,Female,Employed full-time,Philippines,"Under $1,000",Online only,Occasionally,Local e-commerce,Laptop,Groceries,2.0,1.0,4.0,3.0,No,1.0,Often,4.0,Never,Under $50,Digital wallet,"No, never",6.0,8.0,4.0,Better prices,Not applicable,Online,0
23.0,Male,Employed part-time,United States,"$1,000-3,000",,Occasionally,Physical stores,Smartphone,Electronics,,1.0,4.0,5.0,No,3.0,Sometimes,3.0,Never,$150-300,Debit Card,"No, never",7.0,,3.0,,No delivery wait,Online,0
39.0,Female,Employed full-time,Mexico,"$3,000-6,000",Equal mix,Often,Brand websites,Smartphone,Clothing,4.0,3.0,4.0,4.0,Yes,3.0,Sometimes,1.0,Sometimes,$300-500,Digital wallet,"Yes, occasionally",8.0,7.0,1.0,More variety,Trust,Online,0
21.0,Female,Employed full-time,,"$1,000-3,000",Online only,Always,Local e-commerce,Laptop,miscellaneous,2.0,4.0,4.0,4.0,Yes,5.0,Often,5.0,Often,$50-150,Debit Card,"No, never",8.0,,3.0,Convenience,No delivery wait,Online,1
21.0,Male,Student,Egypt,"Under $1,000",Equal mix,Occasionally,Local e-commerce,Laptop,,3.0,3.0,3.0,5.0,No,2.0,Often,2.0,Never,,Cash,,8.0,8.0,1.0,Convenience,Try product before buying,Offline,1
,Female,Employed full-time,Vietnam,"$6,000+",Online only,Occasionally,Global marketplace (Amazon etc.),Laptop,miscellaneous,4.0,,3.0,4.0,Yes,4.0,Sometimes,3.0,Sometimes,$500+,Digital wallet,"Yes, occasionally",8.0,8.0,3.0,More variety,No delivery wait,Online,0
24.0,Female,Student,Indonesia,"Under $1,000",Equal mix,Occasionally,Physical stores,Smartphone,Electronics,1.0,3.0,4.0,3.0,No,3.0,Sometimes,4.0,Never,,Cash,"No, never",10.0,6.0,3.0,Convenience,No delivery wait,Offline,1
22.0,Female,Student,Vietnam,"Under $1,000",In-store only,Occasionally,Global marketplace (Amazon etc.),Laptop,Clothing,3.0,4.0,5.0,5.0,No,2.0,Always,3.0,Sometimes,,Cash,"Yes, occasionally",10.0,6.0,3.0,Convenience,,Offline,1
17.0,Male,Student,Egypt,"$1,000-3,000",In-store only,Occasionally,Brand websites,Laptop,Groceries,4.0,2.0,3.0,3.0,No,3.0,Never,1.0,Often,Under $50,Credit Card,"Yes, occasionally",10.0,6.0,2.0,More variety,Try product before buying,,1
20.0,Female,Student,India,"$6,000+",,Occasionally,Global marketplace (Amazon etc.),Smartphone,Clothing,2.0,3.0,5.0,4.0,No,2.0,Never,1.0,Sometimes,$50-150,Cash,"No, never",7.0,9.0,1.0,Not applicable,No delivery wait,Offline,0
25.0,Female,,Pakistan,"$1,000-3,000",Equal mix,Always,Global marketplace (Amazon etc.),Smartphone,Beauty & personal care,5.0,3.0,4.0,3.0,No,2.0,Never,3.0,,$500+,Digital wallet,"No, never",10.0,8.0,3.0,Convenience,Not applicable,Offline,0
26.0,Female,Employed part-time,Mexico,"$6,000+",Online only,Often,Global marketplace (Amazon etc.),Smartphone,Clothing,2.0,4.0,,4.0,No,4.0,Sometimes,3.0,Never,$300-500,Credit Card,"Yes, occasionally",9.0,8.0,2.0,,Try product before buying,Online,0
25.0,Female,Employed full-time,United States,"$3,000-6,000",In-store only,Rarely,Local e-commerce,Smartphone,Clothing,3.0,2.0,5.0,,No,4.0,Often,4.0,Sometimes,$150-300,Credit Card,"No, never",6.0,,3.0,Convenience,Try product before buying,Equal / both,0
29.0,Female,Employed part-time,Poland,"$1,000-3,000",Equal mix,Occasionally,Global marketplace (Amazon etc.),Smartphone,miscellaneous,3.0,1.0,4.0,4.0,No,3.0,Sometimes,4.0,Sometimes,$50-150,Credit Card,"Yes, regularly",5.0,4.0,3.0,,Trust,,0
23.0,Male,Student,Mexico,"Under $1,000",In-store only,Occasionally,Physical stores,Smartphone,miscellaneous,3.0,3.0,3.0,3.0,No,3.0,Sometimes,1.0,Never,Under $50,Credit Card,,6.0,8.0,2.0,More variety,No delivery wait,Offline,1
16.0,Female,Student,Egypt,"Under $1,000",Equal mix,Often,Physical stores,Laptop,Clothing,5.0,4.0,4.0,3.0,No,2.0,Always,1.0,Sometimes,Under $50,Debit Card,"No, never",8.0,8.0,1.0,Convenience,Not applicable,Offline,1
18.0,Male,Student,Mexico,"Under $1,000",Online only,Occasionally,Global marketplace (Amazon etc.),Smartphone,Beauty & personal care,2.0,2.0,5.0,5.0,Yes,4.0,Often,3.0,Sometimes,$50-150,Cash,"No, never",7.0,6.0,1.0,Better prices,Trust,Online,1
21.0,,Student,Turkiye,"$1,000-3,000",In-store only,Occasionally,Local e-commerce,Smartphone,miscellaneous,4.0,4.0,5.0,4.0,No,3.0,Often,4.0,Often,Under $50,Cash,"No, never",7.0,6.0,2.0,More variety,Not applicable,Equal / both,1
21.0,Female,Student,Indonesia,"Under $1,000",Equal mix,,Brand websites,Smartphone,Clothing,1.0,2.0,4.0,3.0,No,1.0,Sometimes,2.0,Never,Under $50,Debit Card,"No, never",,,,,,,1
32.0,Female,Employed part-time,United Kingdom,"$1,000-3,000",Equal mix,Occasionally,Global marketplace (Amazon etc.),Smartphone,Clothing,3.0,3.0,4.0,4.0,Yes,4.0,Sometimes,4.0,Sometimes,$150-300,Cash,"No, never",3.0,7.0,2.0,More variety,Trust,Offline,0
25.0,Male,Employed part-time,Vietnam,"Under $1,000",Equal mix,Occasionally,Brand websites,Smartphone,Groceries,3.0,5.0,3.0,4.0,Yes,4.0,Never,5.0,Never,$50-150,Debit Card,"No, never",8.0,6.0,4.0,More variety,Not applicable,Online,1
43.0,Female,Self-employed,India,"$1,000-3,000",Equal mix,Rarely,Physical stores,Smartphone,Groceries,1.0,1.0,3.0,3.0,No,1.0,Always,1.0,Sometimes,$50-150,Debit Card,"Yes, occasionally",,,,,,,0
21.0,Male,Student,Mexico,"Under $1,000",Equal mix,Occasionally,Global marketplace (Amazon etc.),Smartphone,Groceries,4.0,4.0,2.0,4.0,No,5.0,Never,4.0,Sometimes,Under $50,Debit Card,"No, never",,,,,,,1
23.0,Female,Student,Kenya,"Under $1,000",Equal mix,Occasionally,Global marketplace (Amazon etc.),Smartphone,Beauty & personal care,3.0,5.0,4.0,4.0,No,5.0,Sometimes,5.0,Sometimes,$150-300,Digital wallet,"No, never",7.0,5.0,1.0,Convenience,Trust,Online,1
26.0,Female,Unemployed,Indonesia,"Under $1,000",Equal mix,Occasionally,Local e-commerce,Laptop,Groceries,3.0,5.0,3.0,4.0,Yes,4.0,Often,4.0,,Under $50,Digital wallet,"No, never",10.0,5.0,,More variety,Try product before buying,Offline,1
40.0,Male,Employed full-time,Colombia,"$3,000-6,000",,Rarely,Global marketplace (Amazon etc.),Tablet,Groceries,4.0,4.0,5.0,5.0,No,4.0,Often,1.0,Never,$300-500,Debit Card,"No, never",,,,,,,0
,Male,Student,Germany,"Under $1,000",In-store only,Rarely,Global marketplace (Amazon etc.),Smartphone,Beauty & personal care,4.0,3.0,5.0,5.0,Yes,1.0,Always,1.0,,,Cash,"Yes, occasionally",7.0,6.0,1.0,More variety,Try product before buying,Offline,1
20.0,Female,,South Africa,"$3,000-6,000",Online only,Occasionally,Global marketplace (Amazon etc.),,Clothing,4.0,3.0,3.0,3.0,Yes,3.0,Sometimes,4.0,Never,Under $50,Debit Card,"No, never",10.0,7.0,2.0,More variety,No delivery wait,Online,1
17.0,Male,Student,Indonesia,"Under $1,000",In-store only,Occasionally,Global marketplace (Amazon etc.),Smartphone,Groceries,2.0,2.0,4.0,4.0,No,,Sometimes,4.0,Never,Under $50,,"No, never",8.0,7.0,2.0,Not applicable,No delivery wait,Offline,1
39.0,Female,Employed full-time,Brazil,"$6,000+",Online only,Occasionally,,Smartphone,miscellaneous,5.0,5.0,5.0,3.0,No,4.0,Sometimes,2.0,Sometimes,$300-500,Debit Card,"No, never",7.0,6.0,2.0,Convenience,Trust,Online,0
20.0,Prefer not to say,Student,India,"$3,000-6,000",Equal mix,Occasionally,Local e-commerce,Smartphone,Clothing,5.0,4.0,5.0,3.0,No,3.0,Sometimes,4.0,Sometimes,$50-150,Credit Card,"No, never",8.0,7.0,4.0,Better prices,Try product before buying,Online,1
21.0,Female,Student,United States,"Under $1,000",Equal mix,Rarely,Brand websites,Smartphone,Clothing,3.0,2.0,4.0,,No,1.0,Sometimes,4.0,Never,,Debit Card,"No, never",7.0,7.0,2.0,Convenience,Not applicable,Online,1
37.0,Prefer not to say,Self-employed,Philippines,"$3,000-6,000",Online only,Often,Global marketplace (Amazon etc.),Smartphone,Groceries,2.0,2.0,5.0,4.0,No,2.0,Sometimes,1.0,Never,$50-150,Debit Card,"Yes, occasionally",8.0,4.0,1.0,Convenience,Try product before buying,Online,0
24.0,Female,Student,Philippines,,Online only,Rarely,Brand websites,Smartphone,Clothing,4.0,5.0,5.0,4.0,No,4.0,Often,,Never,$50-150,,,,8.0,1.0,Convenience,Trust,Online,1
21.0,Female,Employed full-time,India,"$6,000+",,Occasionally,Brand websites,Laptop,Clothing,5.0,3.0,5.0,5.0,No,5.0,Often,1.0,Sometimes,$50-150,Credit Card,"Yes, occasionally",8.0,1.0,1.0,Convenience,Trust,Online,0
16.0,Male,Student,Brazil,"$1,000-3,000",Equal mix,Often,Brand websites,Smartphone,Clothing,2.0,1.0,4.0,4.0,,3.0,Often,1.0,Sometimes,$150-300,Cash,"Yes, occasionally",8.0,10.0,2.0,Convenience,Not applicable,Equal / both,0
19.0,Male,Student,India,"$1,000-3,000",Online only,,Local e-commerce,Smartphone,Clothing,5.0,4.0,5.0,,Yes,5.0,Often,4.0,Never,$300-500,Credit Card,"No, never",8.0,7.0,4.0,,Try product before buying,Online,1
20.0,Male,Student,Brazil,"Under $1,000",Equal mix,Occasionally,Local e-commerce,Laptop,Clothing,1.0,1.0,3.0,3.0,No,2.0,,2.0,Never,$150-300,Debit Card,"Yes, occasionally",7.0,5.0,3.0,More variety,No delivery wait,Online,1
43.0,Male,Employed full-time,Egypt,"Under $1,000",In-store only,Rarely,Brand websites,Tablet,Clothing,1.0,1.0,4.0,4.0,No,,Often,,Sometimes,Under $50,Debit Card,"No, never",,,,,,,0
25.0,Male,Employed full-time,,"$1,000-3,000",Equal mix,Occasionally,Global marketplace (Amazon etc.),Smartphone,Electronics,3.0,3.0,4.0,4.0,No,3.0,Often,2.0,Sometimes,$150-300,Debit Card,"Yes, occasionally",7.0,5.0,2.0,More variety,Trust,Online,0
19.0,Male,Employed part-time,India,"$1,000-3,000",Equal mix,Often,Local e-commerce,Laptop,Books,2.0,5.0,5.0,3.0,No,,Never,3.0,Sometimes,$150-300,Digital wallet,"Yes, occasionally",5.0,8.0,1.0,More variety,Trust,Equal / both,0
21.0,Prefer not to say,Student,India,"Under $1,000",Online only,Often,Brand websites,Laptop,Electronics,4.0,3.0,4.0,4.0,No,4.0,Always,2.0,Sometimes,Under $50,Digital wallet,"Yes, regularly",5.0,5.0,2.0,Not applicable,Trust,Online,1
21.0,Female,Employed full-time,Nigeria,"Under $1,000",Online only,Occasionally,Brand websites,Smartphone,miscellaneous,4.0,5.0,4.0,3.0,Yes,4.0,Often,5.0,Never,,Digital wallet,"Yes, occasionally",7.0,6.0,3.0,Better prices,Try product before buying,Online,1
19.0,Male,Student,Kenya,"Under $1,000",Equal mix,Often,Local e-commerce,Smartphone,Books,5.0,5.0,4.0,4.0,Yes,4.0,Sometimes,4.0,Never,Under $50,Debit Card,"Yes, occasionally",8.0,6.0,1.0,Convenience,Try product before buying,Offline,1
,Prefer not to say,Unemployed,Slovakia,"Under $1,000",Online only,Often,Global marketplace (Amazon etc.),Smartphone,,3.0,2.0,5.0,3.0,No,2.0,Sometimes,1.0,Sometimes,$50-150,Debit Card,"No, never",9.0,6.0,1.0,Convenience,Try product before buying,Online,1
22.0,Female,Student,Brazil,"Under $1,000",Equal mix,Always,Brand websites,Smartphone,Electronics,2.0,1.0,,3.0,No,3.0,Sometimes,1.0,Sometimes,Under $50,Credit Card,"Yes, regularly",8.0,10.0,2.0,Convenience,Trust,Online,1
16.0,Female,Student,United Kingdom,"Under $1,000",Equal mix,Occasionally,Global marketplace (Amazon etc.),Laptop,Groceries,3.0,3.0,4.0,5.0,No,3.0,Often,3.0,Never,Under $50,Digital wallet,"Yes, regularly",8.0,6.0,2.0,Better prices,Try product before buying,Online,1
16.0,Male,Student,Mexico,"Under $1,000",Online only,Occasionally,Brand websites,Laptop,,3.0,2.0,4.0,2.0,No,2.0,Sometimes,3.0,Sometimes,Under $50,Debit Card,"No, never",6.0,9.0,2.0,Convenience,Try product before buying,Equal / both,1
19.0,Male,Student,Brazil,"$1,000-3,000",Online only,Occasionally,Physical stores,Tablet,Clothing,2.0,3.0,3.0,5.0,No,3.0,Often,4.0,Never,$150-300,Credit Card,"No, never",6.0,7.0,3.0,More variety,Not applicable,Online,1
21.0,Prefer not to say,Student,Poland,"Under $1,000",Online only,Always,Local e-commerce,Smartphone,Clothing,2.0,2.0,1.0,4.0,No,1.0,Always,1.0,Often,$150-300,Digital wallet,"Yes, occasionally",7.0,5.0,1.0,More variety,No delivery wait,Online,0
20.0,Prefer not to say,Student,Kenya,"$3,000-6,000",Online only,Occasionally,Global marketplace (Amazon etc.),Tablet,Beauty & personal care,3.0,3.0,5.0,5.0,Yes,4.0,Never,1.0,Never,$50-150,,"No, never",6.0,3.0,1.0,Convenience,Not applicable,Online,1
28.0,Male,Employed full-time,,"$3,000-6,000",Equal mix,Always,Brand websites,Smartphone,Electronics,1.0,1.0,5.0,2.0,No,2.0,Never,2.0,Sometimes,$50-150,,"No, never",8.0,10.0,,Convenience,Not applicable,Equal / both,0
22.0,Male,Student,Brazil,"Under $1,000",Equal mix,Rarely,Physical stores,Laptop,Electronics,4.0,2.0,4.0,2.0,No,3.0,Often,3.0,Sometimes,$50-150,Digital wallet,"No, never",8.0,4.0,2.0,More variety,Not applicable,Online,1
29.0,,Employed full-time,United States,"$6,000+",Equal mix,Occasionally,Local e-commerce,Smartphone,Groceries,3.0,5.0,4.0,,No,4.0,Never,2.0,Often,$50-150,Digital wallet,"Yes, occasionally",6.0,9.0,1.0,More variety,No delivery wait,Online,0
21.0,Female,Employed full-time,Colombia,"$3,000-6,000",In-store only,Often,Global marketplace (Amazon etc.),Smartphone,Books,5.0,5.0,4.0,5.0,No,3.0,,4.0,Sometimes,$150-300,Cash,"Yes, occasionally",5.0,5.0,3.0,Not applicable,No delivery wait,Offline,0
31.0,Male,,Turkiye,"Under $1,000",Equal mix,Rarely,Physical stores,Smartphone,Groceries,3.0,1.0,5.0,4.0,No,3.0,Sometimes,2.0,Never,$150-300,Credit Card,"No, never",7.0,4.0,2.0,More variety,Try product before buying,Offline,1
,Male,Student,Philippines,"$1,000-3,000",Equal mix,Often,Brand websites,Smartphone,Clothing,4.0,4.0,,3.0,No,4.0,Sometimes,3.0,Never,Under $50,Digital wallet,"Yes, occasionally",8.0,5.0,2.0,Convenience,Not applicable,,1
,Female,Student,Nigeria,"Under $1,000",Equal mix,Occasionally,Brand websites,Smartphone,Beauty & personal care,2.0,3.0,4.0,5.0,No,3.0,Often,2.0,Often,$50-150,Credit Card,"Yes, occasionally",7.0,6.0,3.0,More variety,No delivery wait,Equal / both,1
19.0,Prefer not to say,Student,United States,"Under $1,000",Equal mix,Occasionally,Physical stores,Laptop,Beauty & personal care,,4.0,5.0,4.0,Yes,3.0,Often,2.0,Often,$50-150,Debit Card,"No, never",,,,,,,1
37.0,Male,Employed part-time,Kenya,,Online only,Occasionally,Brand websites,Smartphone,Groceries,5.0,4.0,4.0,3.0,Yes,4.0,Never,3.0,Never,Under $50,Debit Card,"Yes, occasionally",7.0,4.0,2.0,,Try product before buying,Online,1
,Male,Student,India,"Under $1,000",Equal mix,Occasionally,Physical stores,Smartphone,Groceries,2.0,2.0,,5.0,Yes,3.0,Often,1.0,Never,,Digital wallet,"Yes, occasionally",8.0,8.0,2.0,More variety,Trust,Offline,1
,Male,Unemployed,United States,"$6,000+",Equal mix,Always,Physical stores,Smartphone,Groceries,2.0,1.0,,3.0,No,4.0,Never,4.0,Sometimes,$150-300,Credit Card,"No, never",5.0,5.0,,Convenience,Try product before buying,Equal / both,0
31.0,Female,Employed full-time,Mexico,"Under $1,000",Online only,Often,Local e-commerce,Smartphone,miscellaneous,4.0,,2.0,5.0,No,,Always,1.0,Often,$50-150,,"No, never",10.0,7.0,2.0,Convenience,Not applicable,Online,0
20.0,Male,Student,Poland,"Under $1,000",Equal mix,,Global marketplace (Amazon etc.),Laptop,Books,3.0,1.0,3.0,5.0,No,4.0,Sometimes,3.0,Never,Under $50,Credit Card,"Yes, occasionally",6.0,9.0,3.0,More variety,No delivery wait,Equal / both,1
21.0,Male,,United States,"Under $1,000",Online only,Occasionally,Local e-commerce,Laptop,Groceries,4.0,2.0,5.0,4.0,No,,Never,2.0,Sometimes,Under $50,Credit Card,"No, never",7.0,,1.0,Convenience,No delivery wait,Online,1
20.0,Female,Student,Germany,"$1,000-3,000",Equal mix,Always,Physical stores,Smartphone,Beauty & personal care,5.0,3.0,5.0,3.0,No,3.0,Often,2.0,Sometimes,$50-150,Digital wallet,"No, never",7.0,7.0,3.0,Not applicable,No delivery wait,Online,1
21.0,Male,Student,Brazil,"Under $1,000",Equal mix,Occasionally,Local e-commerce,Smartphone,Beauty & personal care,,4.0,4.0,5.0,No,5.0,Sometimes,2.0,Never,$150-300,Credit Card,"Yes, regularly",8.0,7.0,2.0,Convenience,Trust,Online,1
20.0,Female,Student,Poland,"Under $1,000",Equal mix,Occasionally,Brand websites,Smartphone,Groceries,3.0,3.0,5.0,5.0,Yes,4.0,Sometimes,2.0,Sometimes,$50-150,Cash,"Yes, occasionally",8.0,4.0,2.0,Convenience,,Offline,1
21.0,Male,Student,South Africa,"Under $1,000",Equal mix,Occasionally,Brand websites,Smartphone,Clothing,3.0,3.0,4.0,3.0,No,3.0,Sometimes,2.0,Sometimes,$50-150,Debit Card,"No, never",6.0,4.0,1.0,Convenience,Try product before buying,Online,1
18.0,Male,Student,India,"Under $1,000",Equal mix,Occasionally,Brand websites,Smartphone,Clothing,3.0,4.0,4.0,5.0,Yes,2.0,Never,4.0,Never,$50-150,Digital wallet,"No, never",8.0,3.0,3.0,Better prices,Trust,Offline,1
22.0,Female,Student,India,"Under $1,000",Online only,Often,,Smartphone,miscellaneous,4.0,3.0,3.0,3.0,No,3.0,Often,2.0,Sometimes,$50-150,,"No, never",7.0,4.0,1.0,More variety,No delivery wait,Online,1
21.0,Male,Student,Nigeria,"Under $1,000",Equal mix,Occasionally,Physical stores,Smartphone,miscellaneous,4.0,3.0,3.0,2.0,No,3.0,Always,3.0,Sometimes,Under $50,Debit Card,"Yes, occasionally",7.0,3.0,3.0,Convenience,Trust,Online,1
20.0,Male,Student,India,"Under $1,000",Equal mix,Rarely,Local e-commerce,Laptop,Beauty & personal care,3.0,2.0,5.0,3.0,No,3.0,Sometimes,3.0,Sometimes,Under $50,Debit Card,"No, never",8.0,9.0,3.0,Better prices,Not applicable,Online,1
